	Name	Address	City	State	Zipcode	H3 Index	Latitude	Longitude
0	Sushi Takeda	123 Astronaut Ellison S. Onizuka St., Ste.307	Los Angeles	California	90012	8f29a1d7570b1ae	34.0503344	-118.2419274
1	Sushi Nikkei	3819 Atlantic Ave.	Long Beach	California	90807	8f29a56add03a99	33.8274727	-118.185128
2	Shunji	3003 Ocean Park Blvd.	Santa Monica	California	90405	8f29a1981ca974b	34.0202154	-118.4537626
3	RYLA	1220 Hermosa Ave.	Hermosa Beach	California	90254	8f29a56425044f2	33.8624242	-118.3999149
4	Moo's Craft Barbecue	2118 N. Broadway	Los Angeles	California	90031	8f29a1d73c6526d	34.0733517	-118.2183724
5	Mes Amis	1541 Wilcox Ave.	Los Angeles	California	90028	8f29a1d6aa559b3	34.098702	-118.331024
6	Manzke	9575 W. Pico Blvd.	Los Angeles	California	90035	8f29a199e8418ac	34.0552648	-118.3975655
7	Lumière	2025 Avenue Of The Stars	Los Angeles	California	90067	8f29a199c74b19c	34.0576053	-118.4153219
8	Lulu	10899 Wilshire Blvd.	Los Angeles	California	90024	8f29a199d14d296	34.0593881	-118.4436784
9	Lalibela	1025 S. Fairfax Ave.	Los Angeles	California	90019	8f29a19937720d0	34.0573578	-118.3643785
10	Ipoh Kopitiam	1411 S. Garfield Ave.	Alhambra	California	91801	8f29a1d0a135932	34.0780108	-118.1230992
11	Horses	7617 Sunset Blvd.	Los Angeles	California	90046	8f29a1d6951b41c	34.0981132	-118.3555764
12	Girl & the Goat Los Angeles	555-3 Mateo St.	Los Angeles	California	90013	8f29a1d75c9eb8b	34.0402191	-118.2330344
13	Flavors from Afar	1046 S. Fairfax Ave.	Los Angeles	California	90019	8f29a1993776035	34.0567917	-118.364391
14	Fia Steak	2454 Wilshire Blvd.	Santa Monica	California	90403	8f29a198c572368	34.0351143	-118.4785275
15	Chiang Rai	3832 E. Anaheim St.	Long Beach	California	90804	8f29a56a595c723	33.782478	-118.1490324
16	Antico Nuovo	4653 Beverly Blvd.	Los Angeles	California	90004	8f29a1d6e54035d	34.0765417	-118.3110212
17	All Day Baby	3200 Sunset Blvd.	Los Angeles	California	90026	8f29a1d442ada0c	34.0854403	-118.275056
18	Victor	285 Nevins St.	New York	New York State	11217	8f2a10729a494cb	40.67964	-73.9869041
19	Yoshino	342 Bowery	New York	New York State	10012	8f2a1072c855a93	40.7262829	-73.9920393
20	Wenwen	1025 Manhattan Ave.	New York	New York State	11222	8f2a100d0208d93	40.733975	-73.9549668
21	Wau	434 Amsterdam Ave.	New York	New York State	10025	8f2a1008b951334	40.7844437	-73.9775029
22	Veranda	23 Grand St.	New York	New York State	10013	8f2a1072c0ac683	40.7228646	-74.0044951
23	Sweetbriar	127 E. 27th St.	New York	New York State	10016	8f2a100d21462d8	40.7421929	-73.9836118
24	Sushi Ikumi	135 Sullivan St.	New York	New York State	10012	8f2a1072cc4b0c4	40.7267812	-74.0019736
25	Rolo's	853 Onderdonk Ave.	New York	New York State	11385	8f2a100c362e11e	40.7019454	-73.9035084
26	Porcelain	880 Woodward Ave.	New York	New York State	11385	8f2a100c3755549	40.7023529	-73.9015152
27	Nura	46 Norman Ave.	New York	New York State	11211	8f2a100d14e1786	40.7246919	-73.9534864
28	Nudibranch	125 First Ave.	New York	New York State	10003	8f2a100d34a4c80	40.727431	-73.9855867
29	Mel's	85 Tenth Ave.	New York	New York State	10011	8f2a1072185d46c	40.7432849	-74.0076108
30	Lore	441 7th Ave.	New York	New York State	11215	8f2a107743b12ee	40.6632997	-73.9844453
31	LittleMäd	110 Madison Ave.	New York	New York State	10016	8f2a100d2123495	40.7450973	-73.9849484
32	Joomak Banjum	312 Fifth Ave.	New York	New York State	10001	8f2a100d2c6dca9	40.7470482	-73.9857048
33	Icca	20 Warren St.	New York	New York State	10007	8f2a1072c64ea88	40.7141336	-74.0077126
34	Gotham	12 E. 12th St.	New York	New York State	10003	8f2a100d2646a13	40.73417	-73.99379
35	Gage & Tollner	372 Fulton St.	New York	New York State	11201	8f2a10729941426	40.6914325	-73.9876043
36	Esora Omakase	239 E. 5th St.	New York	New York State	10003	8f2a1072c94b624	40.7270875	-73.9892529
37	Dame	87 MacDougal St.	New York	New York State	10012	8f2a1072cc62060	40.7290674	-74.0013397
38	Cómodo	23 Lexington Ave.	New York	New York State	10010	8f2a100d2063282	40.7396	-73.984467
39	CheLi	19 St. Marks Pl.	New York	New York State	10003	8f2a1072c94482a	40.7291736	-73.9886967
40	Bonnie's	398 Manhattan Ave.	New York	New York State	11211	8f2a100d174a688	40.7179908	-73.9465461
41	Barbuto	113 Horatio St.	New York	New York State	10014	8f2a10721aa1226	40.7389461	-74.0093823
42	Bar Tulix	25 W. Houston St.	New York	New York State	10012	8f2a1072c12c56b	40.7258361	-73.9980256
43	Ernest	1890 Bryant St, Suite 100	San Francisco	California	94110	8f2830828d2465a	37.7630762	-122.4111166
44	Good Good Culture Club	3560 18th St.	San Francisco	California	94110	8f283082892d7a9	37.76162	-122.42299
45	Be.Stéak.Ă	1887 S. Bascom Ave.	Campbell	California	95008	8f283473422e286	37.287535	-121.9322084
46	Dela Curo	907 Washington St.	Oakland	California	94607	8f28308108f3646	37.8017344	-122.2748232
47	Birch & Rye	1320 Castro St.	San Francisco	California	94114	8f283082dd3136b	37.7509	-122.43424
48	Sato Omakase	1122 Post St.	San Francisco	California	94109	8f283082b988a04	37.78704	-122.42029
49	Sorella	1760 Polk St.	San Francisco	California	94109	8f283082b10dbb0	37.7931112	-122.4210529
50	Le Fantastique	22 Franklin St.	San Francisco	California	94102	8f28308280736e3	37.7746773	-122.4207902
51	Abacá	2700 Jones St.	San Francisco	California	94133	8f283082b6e36b3	37.806718	-122.4170585
52	Miller & Lux	700 Terry A Francois Blvd.	San Francisco	California	94158	8f283082e4408f3	37.7678384	-122.3863769
53	Stokes Adobe	500 Hartnell St.	Monterey	California	93940	8f291a6de96989a	36.5967104	-121.8961384
54	San Ho Won	2170 Bryant St.	San Francisco	California	94110	8f283082c79b82b	37.7595744	-122.4100236
55	Nisei	2316 Polk St.	San Francisco	California	94109	8f283082b05e8b6	37.797982	-122.4221988
56	Donaji	3161 24th St.	San Francisco	California	94110	8f283082c0adccb	37.752426	-122.415396
57	Lane 33 Café	494 Soscol Ave.	Napa	California	94559	8f28300520c9235	38.2919949	-122.2777365
58	The Matheson	106 Matheson St.	Healdsburg	California	95448	8f2831515336a30	38.6103905	-122.8700559
59	Hawks	1525 Alhambra Blvd.	Sacramento	California	95816	8f2832b15606168	38.5663252	-121.4679448
60	Sticky Rice	1915 E. Colonial Dr.	Orlando	Florida	32803	8f44a90e589dcce	28.5533549	-81.356518
61	Michael's Genuine	130 NE. 40th St.	Miami	Florida	33137	8f44a11725ae7a5	25.8133573	-80.1927977
62	El Turco	184 NE. 50th Terr.	Miami	Florida	33137	8f44a1109b51a63	25.8220009	-80.1918868
63	Cena	1208 E. Kennedy Blvd.	Tampa	Florida	33602	8f441a89a72e44e	27.9513073	-82.4476003
64	Ulele	1810 N. Highland Ave.	Tampa	Florida	33602	8f441a89bcdd92b	27.9594956	-82.462424
65	Columbia	2025 E. 7th Ave.	Tampa	Florida	33605	8f441ac693402c6	27.96025	-82.4357
66	Mandolin Aegean Bistro	4312 NE. 2nd Ave.	Miami	Florida	33137	8f44a11724a2358	25.8158091	-80.1915611
67	On Swann	1501 W. Swann Ave.	Tampa	Florida	33606	8f441a89888b0f6	27.9373495	-82.475075
68	Elcielo Miami	31 SE. 5th St.	Miami	Florida	33131	8f44a112bd28429	25.7695211	-80.1915242
